time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-03T20:56:29.000Z,36.0702,-97.2056,9.838,3.1,ml,,58,,0.52,us,us10004b21,2016-03-28T22:09:35.040Z,"14km WSW of Stillwater, Oklahoma",earthquake,2.5,7,,,reviewed,tul,tul
2016-01-03T21:38:49.200Z,36.0695,-97.214,4.965,3.3,ml,,80,,0.72,us,us10004b27,2016-03-28T22:09:35.040Z,"14km WSW of Stillwater, Oklahoma",earthquake,3.2,7.8,,,reviewed,tul,tul
2016-01-03T22:33:31.000Z,35.6636,-97.3915,5,2.6,ml,,79,,0.67,us,us10004b2d,2016-03-28T22:09:35.040Z,"7km E of Edmond, Oklahoma",earthquake,1.9,5.7,,,reviewed,tul,tul
2016-01-03T22:55:40.200Z,36.0746,-97.2031,5.778,2.5,ml,,80,,0.6,us,us20004y2v,2016-03-28T22:09:35.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,1,7.7,,,reviewed,tul,tul
2016-01-03T22:57:03.900Z,35.6608,-97.3967,6.382,2.7,ml,,68,,0.26,us,us10004b2i,2016-03-28T22:09:35.040Z,"7km E of Edmond, Oklahoma",earthquake,2,4.2,,,reviewed,tul,tul
2016-01-04T04:33:09.600Z,36.734,-98.0584,6.12,2.7,ml,,49,,0.66,us,us10004b4b,2016-03-28T22:09:36.040Z,"26km E of Cherokee, Oklahoma",earthquake,1.3,5.2,,,reviewed,tul,tul
2016-01-04T05:54:58.500Z,36.0737,-97.2048,7.978,2.9,ml,,54,,0.66,us,us10004b4p,2016-03-28T22:09:36.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,1.1,7,,,reviewed,tul,tul
2016-01-04T09:45:04.100Z,36.0706,-97.2026,11.605,3.3,ml,,81,,0.53,us,us10004b5i,2016-03-28T22:09:36.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,1.9,4.8,,,reviewed,tul,tul
2016-01-04T10:20:59.100Z,36.0727,-97.2042,10.367,3.4,ml,,64,,0.58,us,us10004b5k,2016-03-28T22:09:36.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,4.2,7.7,,,reviewed,tul,tul
2016-01-04T12:23:24.500Z,36.0734,-97.2023,11.517,3.5,ml,,58,,0.77,us,us10004b62,2016-03-28T22:09:36.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,2,4.9,,,reviewed,tul,tul
2016-01-04T12:38:45.100Z,36.0753,-97.1979,8.305,2.9,ml,,105,,0.53,us,us10004b67,2016-03-28T22:09:36.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,2,3.4,,,reviewed,tul,tul
2016-01-04T12:43:02.500Z,36.0733,-97.201,9.143,3.4,ml,,58,,0.73,us,us10004b6a,2016-03-28T22:09:36.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,1.6,4.4,,,reviewed,tul,tul
2016-01-04T16:49:42.590Z,35.6836,-97.4094,5,2.3,mb_lg,,38,0.102,0.44,us,us10004bal,2016-03-28T22:09:37.040Z,"7km ENE of Edmond, Oklahoma",earthquake,0.8,1.9,0.102,25,reviewed,us,us
2016-01-04T17:16:57.700Z,36.0753,-97.2047,7.946,2.9,ml,,54,,0.34,us,us10004baq,2016-03-28T22:09:37.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,1.8,7.3,,,reviewed,tul,tul
2016-01-05T00:50:07.000Z,36.7355,-98.0605,5.624,2.9,ml,,49,,0.58,us,us10004bec,2016-03-28T22:09:37.040Z,"26km E of Cherokee, Oklahoma",earthquake,1.2,5.7,,,reviewed,tul,tul
2016-01-05T10:31:47.000Z,35.8339,-96.9098,5.774,2.6,ml,,46,,0.27,us,us10004bgn,2016-03-28T22:09:38.040Z,"14km N of Chandler, Oklahoma",earthquake,1.7,5.8,,,reviewed,tul,tul
2016-01-05T23:05:57.700Z,36.843,-98.2808,5.398,2.6,ml,,99,,0.45,us,us10004bmh,2016-03-28T22:09:39.040Z,"11km NE of Cherokee, Oklahoma",earthquake,1.5,5.8,,,reviewed,tul,tul
2016-01-06T01:00:22.900Z,35.663,-97.3912,5.903,2.9,ml,,37,,0.33,us,us10004bnf,2016-03-28T22:09:39.040Z,"7km E of Edmond, Oklahoma",earthquake,1.1,4,,,reviewed,tul,tul
2016-01-06T01:17:05.400Z,35.6596,-97.3904,6.35,3,ml,,38,,0.49,us,us10004bnk,2016-03-28T22:09:39.040Z,"7km E of Edmond, Oklahoma",earthquake,1.7,5.4,,,reviewed,tul,tul
2016-01-06T01:42:54.300Z,36.7347,-98.0603,6.236,2.8,ml,,49,,0.21,us,us10004bnr,2016-03-28T22:09:39.040Z,"26km E of Cherokee, Oklahoma",earthquake,1.4,4,,,reviewed,tul,tul
2016-01-06T06:19:25.300Z,36.4885,-98.7319,9.409,4,ml,,117,,1.08,us,us10004bpl,2016-03-28T22:09:40.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.8,6.6,,,reviewed,tul,tul
2016-01-06T06:51:39.200Z,35.6621,-97.3902,5.336,3.2,ml,,37,,0.56,us,us10004bps,2016-03-28T22:09:40.040Z,"8km E of Edmond, Oklahoma",earthquake,2.1,3.6,,,reviewed,tul,tul
2016-01-06T08:45:12.300Z,35.6669,-97.4065,6.635,2.9,ml,,36,,0.51,us,us10004bqe,2016-03-28T22:09:40.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.8,6,,,reviewed,tul,tul
2016-01-06T10:40:29.700Z,36.7302,-98.0189,6.336,3.2,ml,,74,,0.75,us,us10004bqx,2016-03-28T22:09:40.040Z,"26km WSW of Medford, Oklahoma",earthquake,1.5,5.7,,,reviewed,tul,tul
2016-01-06T12:51:12.200Z,35.6618,-97.4121,5.076,3.2,ml,,37,,0.61,us,us10004bt8,2016-03-28T22:09:40.040Z,"6km E of Edmond, Oklahoma",earthquake,1.3,5.4,,,reviewed,tul,tul
2016-01-06T13:34:25.200Z,35.6632,-97.39,6.147,2.6,ml,,37,,0.48,us,us10004bte,2016-03-28T22:09:40.040Z,"8km E of Edmond, Oklahoma",earthquake,1.5,5.3,,,reviewed,tul,tul
2016-01-06T15:26:12.200Z,36.4892,-98.7304,7.195,3.9,ml,,98,,0.56,us,us10004bve,2016-03-28T22:09:41.040Z,"33km NW of Fairview, Oklahoma",earthquake,4.4,7.5,,,reviewed,tul,tul
2016-01-07T01:14:07.700Z,36.075,-97.2025,7.074,2.5,ml,,60,,0.37,us,us10004byc,2016-03-28T22:09:41.040Z,"13km WSW of Stillwater, Oklahoma",earthquake,1.7,6.7,,,reviewed,tul,tul
2016-01-07T01:20:55.600Z,35.6658,-97.3928,5,2.8,ml,,84,,0.43,us,us10004byd,2016-03-28T22:09:41.040Z,"7km E of Edmond, Oklahoma",earthquake,2.2,6.9,,,reviewed,tul,tul
2016-01-07T02:15:07.700Z,35.6689,-97.4037,6.229,3.5,ml,,35,,0.46,us,us10004byj,2016-03-28T22:09:42.040Z,"6km ENE of Edmond, Oklahoma",earthquake,4.6,6.9,,,reviewed,tul,tul
2016-01-07T03:07:10.200Z,36.4901,-98.7294,4.317,3.2,ml,,117,,0.57,us,us10004byu,2016-03-28T22:09:42.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.5,7.8,,,reviewed,tul,tul
2016-01-07T04:27:27.900Z,36.486,-98.7412,7.093,4.4,mwr,,117,,0.68,us,us10004bz1,2017-10-11T21:19:57.761Z,"33km NW of Fairview, Oklahoma",earthquake,3.4,6.3,,25,reviewed,tul,slm
2016-01-07T04:27:57.600Z,36.4955,-98.7254,4.058,4.7,mww,,118,,0.99,us,us10004bz5,2016-11-10T22:07:20.189Z,"33km NW of Fairview, Oklahoma",earthquake,4.1,3.5,,,reviewed,tul,us
2016-01-07T04:37:22.400Z,36.5136,-98.6906,1.332,2.6,ml,,251,,0.63,us,us10004bz6,2016-03-28T22:09:42.040Z,"32km S of Alva, Oklahoma",earthquake,1.5,7.9,,,reviewed,tul,tul
2016-01-07T04:49:47.100Z,36.4794,-98.7423,8.284,3.6,ml,,116,,0.58,us,us10004bz7,2016-03-28T22:09:42.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.6,7.5,,,reviewed,tul,tul
2016-01-07T05:02:12.700Z,36.4908,-98.7301,5.881,2.9,ml,,117,,0.54,us,us10004bzb,2016-03-28T22:09:42.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.6,7.8,,,reviewed,tul,tul
2016-01-07T05:04:15.700Z,36.4863,-98.7416,6.744,2.7,ml,,118,,0.34,us,us10004uuy,2016-03-28T22:09:42.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.1,3,,,reviewed,tul,tul
2016-01-07T05:19:47.500Z,36.4843,-98.7382,6.664,3.5,ml,,98,,0.59,us,us10004bze,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.1,5.7,,,reviewed,tul,tul
2016-01-07T05:37:48.500Z,36.4815,-98.7475,7.603,3.1,ml,,117,,0.41,us,us10004bzn,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.2,7.1,,,reviewed,tul,tul
2016-01-07T06:03:28.900Z,36.5226,-98.6992,8.102,3.3,ml,,118,,0.49,us,us10004bzz,2016-03-28T22:09:43.040Z,"31km S of Alva, Oklahoma",earthquake,3.2,7.6,,,reviewed,tul,tul
2016-01-07T06:20:18.400Z,36.4786,-98.7424,7.499,2.7,ml,,116,,0.54,us,us10004c04,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.9,7.1,,,reviewed,tul,tul
2016-01-07T06:38:33.800Z,36.4843,-98.7372,5.168,3.6,ml,,117,,0.47,us,us10004c06,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.2,7.1,,,reviewed,tul,tul
2016-01-07T06:42:57.600Z,35.6574,-97.406,6.829,3,ml,,61,,0.61,us,us10004c07,2016-03-28T22:09:43.040Z,"6km E of Edmond, Oklahoma",earthquake,1.2,4.9,,,reviewed,tul,tul
2016-01-07T07:01:47.900Z,36.4948,-98.7202,7.335,2.5,ml,,117,,0.55,us,us10004c0b,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.6,6.1,,,reviewed,tul,tul
2016-01-07T07:50:03.360Z,36.5009,-98.7147,7.91,2.5,mb_lg,,118,0.206,0.34,us,us10004c0q,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.6,5.2,0.142,13,reviewed,us,us
2016-01-07T08:02:30.900Z,36.5014,-98.723,8.714,3.4,ml,,119,,0.41,us,us10004c0z,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,3,6.5,,,reviewed,tul,tul
2016-01-07T08:06:15.100Z,36.4755,-98.7549,8.698,3.9,ml,,117,,0.56,us,us10004c10,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.9,5.8,,,reviewed,tul,tul
2016-01-07T08:22:01.500Z,36.4844,-98.7399,7.593,2.5,ml,,123,,0.51,us,us10004c1a,2016-03-28T22:09:43.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.9,4.5,,,reviewed,tul,tul
2016-01-07T08:37:11.100Z,36.4754,-98.7342,6.647,4.4,mwr,,95,,0.6,us,us10004c1m,2016-03-28T22:09:44.040Z,"32km NW of Fairview, Oklahoma",earthquake,4.4,6.3,,25,reviewed,tul,slm
2016-01-07T09:13:47.000Z,36.4972,-98.7232,8.726,2.6,ml,,118,,0.78,us,us10004c1z,2016-03-28T22:09:44.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.8,7.6,,,reviewed,tul,tul
2016-01-07T09:33:22.200Z,36.5,-98.7178,6.998,2.9,ml,,118,,0.68,us,us10004c25,2016-03-28T22:09:44.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.1,7.3,,,reviewed,tul,tul
2016-01-07T10:12:52.300Z,36.4747,-98.7422,6.175,3.2,ml,,115,,0.34,us,us10004c2b,2016-03-28T22:09:44.040Z,"32km NW of Fairview, Oklahoma",earthquake,3,7.3,,,reviewed,tul,tul
2016-01-07T10:40:10.000Z,36.5313,-98.5958,7.685,2.6,ml,,87,,0.35,us,us10004c2f,2016-03-28T22:09:44.040Z,"29km W of Helena, Oklahoma",earthquake,2,6.5,,,reviewed,tul,tul
2016-01-07T10:48:17.510Z,36.4746,-98.6984,3.13,2.8,ml,,92,0.233,0.58,us,us10004c2g,2016-03-28T22:09:44.040Z,"30km NW of Fairview, Oklahoma",earthquake,1.5,7.7,0.121,9,reviewed,us,us
2016-01-07T10:48:41.700Z,36.4805,-98.7499,7.891,3.8,ml,,117,,0.5,us,us10004c2m,2016-03-28T22:09:44.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.7,5.3,,,reviewed,tul,tul
2016-01-07T11:00:04.100Z,36.4795,-98.7408,8.835,2.5,ml,,116,,0.53,us,us10004c2l,2016-03-28T22:09:44.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.2,6.4,,,reviewed,tul,tul
2016-01-07T11:13:17.600Z,36.5051,-98.724,7.369,2.9,ml,,120,,0.51,us,us10004c2v,2016-03-28T22:09:44.040Z,"33km S of Alva, Oklahoma",earthquake,2.2,7.1,,,reviewed,tul,tul
